sepal_length,sepal_width,petal_length,petal_width,species
7.0,3.2,4.7,1.4,Iris-versicolor
6.4,3.2,4.5,1.5,Iris-versicolor
6.9,3.1,4.9,1.5,Iris-versicolor
5.5,2.3,4.0,1.3,Iris-versicolor
6.5,2.8,4.6,1.5,Iris-versicolor
5.7,2.8,4.5,1.3,Iris-versicolor
6.3,3.3,4.7,1.6,Iris-versicolor
4.9,2.4,3.3,1.0,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5.0,2.0,3.5,1.0,Iris-versicolor
5.9,3.0,4.2,1.5,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
5.6,2.9,3.6,1.3,Iris-versicolor
6.7,3.1,4.4,1.4,Iris-versicolor
5.6,3.0,4.5,1.5,Iris-versicolor
5.8,2.7,4.1,1.0,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
5.6,2.5,3.9,1.1,Iris-versicolor
5.9,3.2,4.8,1.8,Iris-versicolor
6.1,2.8,4.0,1.3,Iris-versicolor
6.3,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.4,2.9,4.3,1.3,Iris-versicolor
6.6,3.0,4.4,1.4,Iris-versicolor
6.8,2.8,4.8,1.4,Iris-versicolor
6.7,3.0,5.0,1.7,Iris-versicolor
6.0,2.9,4.5,1.5,Iris-versicolor
5.7,2.6,3.5,1.0,Iris-versicolor
5.5,2.4,3.8,1.1,Iris-versicolor
5.5,2.4,3.7,1.0,Iris-versicolor
5.8,2.7,3.9,1.2,Iris-versicolor
6.0,2.7,5.1,1.6,Iris-versicolor
5.4,3.0,4.5,1.5,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
6.3,2.3,4.4,1.3,Iris-versicolor
5.6,3.0,4.1,1.3,Iris-versicolor
5.5,2.5,4.0,1.3,Iris-versicolor
5.5,2.6,4.4,1.2,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
5.8,2.6,4.0,1.2,Iris-versicolor
5.0,2.3,3.3,1.0,Iris-versicolor
5.6,2.7,4.2,1.3,Iris-versicolor
5.7,3.0,4.2,1.2,Iris-versicolor
5.7,2.9,4.2,1.3,Iris-versicolor
6.2,2.9,4.3,1.3,Iris-versicolor
5.1,2.5,3.0,1.1,Iris-versicolor
5.7,2.8,4.1,1.3,Iris-versicolor
2.48,1.2990000000000002,2.362,0.9840000000000001,Iris-virginica
2.283,1.063,2.008,0.748,Iris-virginica
2.795,1.181,2.323,0.8270000000000001,iris-virginica
2.48,1.1420000000000001,2.205,0.7090000000000001,Iris-virginica
2.559,1.181,2.283,0.866,Iris-virginica
2.992,1.181,2.5980000000000003,0.8270000000000001,Iris-virginica
1.929,0.9840000000000001,1.7719999999999998,0.669,Iris-virginica
2.8739999999999997,1.1420000000000001,2.48,0.7090000000000001,Iris-virginica
2.638,0.9840000000000001,2.283,0.7090000000000001,Iris-virginica
2.835,1.4169999999999998,2.4019999999999997,0.9840000000000001,Iris-virginica
2.559,1.26,2.008,0.787,Iris-virginica
2.52,1.063,2.0869999999999997,0.748,iris-virginica
2.677,1.181,2.165,0.8270000000000001,iris-virginica
2.244,0.9840000000000001,1.969,0.787,Iris-virginica
2.283,1.102,2.008,0.945,Iris-virginica
2.52,1.26,2.0869999999999997,0.9059999999999999,Iris-virginica
2.559,1.181,2.165,0.7090000000000001,Iris-virginica
3.031,1.496,2.638,0.866,Iris-virginica
3.031,1.024,2.717,0.9059999999999999,Iris-virginica
2.362,0.866,1.969,0.591,Iris-virginica
2.717,1.26,2.244,0.9059999999999999,Iris-virginica
2.205,1.102,1.929,0.787,Iris-virginica
3.031,1.102,2.638,0.787,Iris-virginica
2.48,1.063,1.929,0.7090000000000001,Iris-virginica
2.638,1.2990000000000002,2.244,0.8270000000000001,Iris-virginica
2.835,1.26,2.362,0.7090000000000001,Iris-virginica
2.441,1.102,1.89,0.7090000000000001,iris-virginica
2.4019999999999997,1.181,1.929,0.7090000000000001,Iris-virginica
2.52,1.102,2.205,0.8270000000000001,Iris-virginica
2.835,1.181,2.283,0.63,iris-virginica
2.9130000000000003,1.102,2.4019999999999997,0.748,iris-virginica
3.11,1.496,2.52,0.787,iris-virginica
2.52,1.102,2.205,0.866,iris-virginica
2.48,1.102,2.008,0.591,iris-virginica
2.4019999999999997,1.024,2.205,0.551,iris-virginica
3.031,1.181,2.4019999999999997,0.9059999999999999,iris-virginica
2.48,1.339,2.205,0.945,iris-virginica
2.52,1.22,2.165,0.7090000000000001,iris-virginica
2.362,1.181,1.89,0.7090000000000001,iris-virginica
2.717,1.22,2.126,0.8270000000000001,iris-virginica
2.638,1.22,2.205,0.945,Iris-virginica
2.717,1.22,2.008,0.9059999999999999,Iris-virginica
2.283,1.063,2.008,0.748,Iris-virginica
2.677,1.26,2.323,0.9059999999999999,Iris-virginica
2.638,1.2990000000000002,2.244,0.9840000000000001,Iris-virginica
2.638,1.181,2.0469999999999997,0.9059999999999999,Iris-virginica
2.48,0.9840000000000001,1.969,0.748,Iris-virginica
2.559,1.181,2.0469999999999997,0.787,Iris-virginica
2.441,1.339,2.126,0.9059999999999999,Iris-virginica
2.323,1.181,2.008,0.7090000000000001,Iris-virginica
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.0,1.4,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
5.0,3.6,1.4,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5.0,3.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
5.8,4.0,1.2,0.2,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.6,3.6,1.0,0.2,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa
5.0,3.0,1.6,0.2,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.0,3.2,1.2,0.2,Iris-setosa
5.5,3.5,1.3,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
4.4,3.0,1.3,0.2,Iris-setosa
5.1,3.4,1.5,0.2,Iris-setosa
5.0,3.5,1.3,0.3,Iris-setosa
4.5,2.3,1.3,0.3,Iris-setosa
4.4,3.2,1.3,0.2,Iris-setosa
5.0,3.5,1.6,0.6,Iris-setosa
5.1,3.8,1.9,0.4,Iris-setosa
4.8,3.0,1.4,0.3,Iris-setosa
5.1,3.8,1.6,0.2,Iris-setosa
4.6,3.2,1.4,0.2,Iris-setosa
5.3,3.7,1.5,0.2,Iris-setosa
5.0,3.3,1.4,0.2,Iris-setosa
